rank,channel_name,subscribers,total_views,category,channel_title,uploads,country,country_code,channel_type,views_rank,country_rank,type_rank,views_last_30d,est_monthly_earnings_low,est_monthly_earnings_high,est_yearly_earnings_low,est_yearly_earnings_high,subs_gained_last_30d,created_year,created_month,created_date,avg_views_per_video,est_monthly_earnings_mid,channel_age_years,views_per_subscriber,views_30d_pct_of_total,sub_growth_rate_30d,follower_tier,engagement_proxy,posting_intensity,recent_views_momentum,subscriber_momentum,momentum_score,avg_views_per_30d,earnings_per_1k_views,consistency_score,marketing_category,creator_fit_score,awareness_score,engagement_suitability_score,flag_missing_30d_data,flag_low_upload_volume,flag_negative_growth,flag_earnings_missing,flag_very_high_uploads,risk_flag_count
50,SonyMusicIndiaVEVO,46600000,27286058807.0,Music,SonyMusicIndiaVEVO,3444,United States,US,Music,55.0,17.0,22.0,314505000.0,78600.0,1300000.0,943500.0,15100000.0,400000.0,2009.0,Sep,2.0,7922781.0,689300.0,14.0,585.54,1.153,0.8584,macro,585.54,246.0,1.153,0.8584,59.2,314505000.0,2.19,86.5,Music,70.9,90.7,66.9,False,False,False,False,False,0
51,A4,46300000,22936630813.0,Gaming,aefour,1,Cuba,CU,People,4053056.0,99.0,5359.0,94.0,0.02,0.38,0.28,5.0,10.0,2006.0,Mar,11.0,22936630813.0,0.0,17.0,495.39,0.0,0.0,macro,495.39,0.1,0.0,0.0,3.6,94.0,0.0,61.8,Lifestyle / People,25.4,62.5,54.9,False,True,False,True,False,2
52,Bad Bunny,46100000,30686342319.0,Music,badbunny,1,,,Sports,4046070.0,,4501.0,1.0,0.0,0.0,0.0,0.05,,2005.0,Nov,15.0,30686342319.0,0.0,18.0,665.65,0.0,,macro,665.65,0.1,0.0,,,1.0,0.0,46.8,Sports,,63.1,,False,True,False,True,False,2
53,Fernanfloo,46100000,10323391593.0,Gaming,Fernanfloo,543,El Salvador,SV,Games,419.0,1.0,3.0,33842000.0,8500.0,135400.0,101500.0,1600000.0,200000.0,2011.0,May,2.0,19011771.0,71950.0,12.0,223.93,0.328,0.4338,macro,223.93,45.2,0.328,0.4338,20.4,33842000.0,2.13,68.8,Gaming,31.5,66.0,40.7,False,False,False,False,False,0
54,Voot Kids,45500000,21388725229.0,Entertainment,Voot Kids,4660,India,IN,Entertainment,105.0,18.0,13.0,233988000.0,58500.0,936000.0,702000.0,11200000.0,400000.0,2016.0,Nov,23.0,4589855.0,497250.0,7.0,470.08,1.094,0.8791,macro,470.08,665.7,1.094,0.8791,58.3,233988000.0,2.13,78.5,Entertainment,68.3,88.8,57.1,False,False,False,False,False,0
55,Felipe Neto,45200000,16602198273.0,Entertainment,Felipe Neto,4331,Brazil,BR,Entertainment,174.0,2.0,14.0,130359000.0,32600.0,521400.0,391100.0,6300000.0,200000.0,2006.0,May,16.0,3833341.0,277000.0,17.0,367.31,0.785,0.4425,macro,367.31,254.8,0.785,0.4425,35.6,130359000.0,2.12,89.0,Entertainment,57.0,84.0,45.8,False,False,False,False,False,0
56,VocÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½,44700000,7828610828.0,Entertainment,VocÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½,1558,Brazil,BR,Entertainment,681.0,3.0,15.0,48032000.0,12000.0,192100.0,144100.0,2300000.0,100000.0,2013.0,Sep,1.0,5024782.0,102050.0,10.0,175.14,0.614,0.2237,macro,175.14,155.8,0.614,0.2237,26.6,48032000.0,2.12,75.1,Entertainment,40.9,66.7,32.4,False,False,False,False,False,0
57,HAR PAL GEO,44600000,41139050371.0,Entertainment,HAR PAL GEO,100755,Pakistan,PK,Entertainment,20.0,1.0,15.0,1337000000.0,334300.0,5300000.0,4000000.0,64200000.0,1300000.0,2008.0,Jan,2.0,408308.0,2817150.0,15.0,922.4,3.25,2.9148,macro,922.4,6717.0,3.25,2.9148,88.0,1337000000.0,2.11,98.6,Entertainment,93.6,96.7,71.5,False,False,False,False,True,1
58,BRIGHT SIDE,44500000,10708531817.0,Howto & Style,brightside,0,,,,4057944.0,,,,0.0,0.0,0.0,0.0,1.0,2005.0,Nov,18.0,,0.0,18.0,240.64,,0.0,macro,240.64,0.0,,0.0,,,,45.7,Other,,,,True,True,False,True,False,3
59,Katy Perry,44200000,25458952022.0,Music,Katy Perry,128,United States,US,Music,70.0,19.0,24.0,134242000.0,33600.0,537000.0,402700.0,6400000.0,100000.0,2008.0,Jun,1.0,198898063.0,285300.0,15.0,575.99,0.527,0.2262,macro,575.99,8.5,0.527,0.2262,23.9,134242000.0,2.13,66.1,Music,36.0,77.6,60.4,False,False,False,False,False,0
60,whinderssonnunes,44200000,4274709210.0,Comedy,whinderssonnunes,558,Brazil,BR,Comedy,1741.0,4.0,1.0,26683000.0,6700.0,106700.0,80100.0,1300000.0,,2013.0,Jan,21.0,7660769.0,56700.0,10.0,96.71,0.624,,macro,96.71,55.8,0.624,,,26683000.0,2.12,50.9,Comedy,,52.8,,False,False,False,False,False,0
